,episode,duration,G,loss,gamma,n_step,semi_gradient,alpha
0,89,127,126.0,0.029906461015343666,0.8,3,True,0.001
0,90,137,136.0,0.004547429736703634,0.8,3,True,0.001
0,91,148,147.0,0.11598037928342819,0.8,3,True,0.001
0,92,103,102.0,0.02684778720140457,0.8,3,True,0.001
0,93,126,125.0,0.005199859384447336,0.8,3,True,0.001
0,94,197,196.0,0.016612576320767403,0.8,3,True,0.001
0,95,147,146.0,0.00728437677025795,0.8,3,True,0.001
0,96,163,162.0,0.01825694739818573,0.8,3,True,0.001
0,97,140,139.0,0.004119308665394783,0.8,3,True,0.001
0,98,138,137.0,0.10822774469852448,0.8,3,True,0.001
0,99,132,131.0,0.017612915486097336,0.8,3,True,0.001
0,0,24,23.0,0,0.8,3,True,0.001
0,1,66,65.0,2.195110321044922,0.8,3,True,0.001
0,2,32,31.0,0.7038081884384155,0.8,3,True,0.001
0,3,33,32.0,0.679912805557251,0.8,3,True,0.001
0,4,16,15.0,1.4127206802368164,0.8,3,True,0.001
0,5,29,28.0,0.39316654205322266,0.8,3,True,0.001
0,6,63,62.0,0.3500933051109314,0.8,3,True,0.001
0,7,67,66.0,0.19921529293060303,0.8,3,True,0.001
0,8,131,130.0,0.05576148256659508,0.8,3,True,0.001
0,9,201,200.0,0.09983623772859573,0.8,3,True,0.001
0,10,201,200.0,0.07422303408384323,0.8,3,True,0.001
0,11,201,200.0,0.040168724954128265,0.8,3,True,0.001
0,12,201,200.0,0.1603650152683258,0.8,3,True,0.001
0,13,195,194.0,0.02686082012951374,0.8,3,True,0.001
0,14,201,200.0,0.01296924613416195,0.8,3,True,0.001
0,15,201,200.0,0.07163932174444199,0.8,3,True,0.001
0,16,201,200.0,0.14526578783988953,0.8,3,True,0.001
0,17,201,200.0,0.29251828789711,0.8,3,True,0.001
0,18,198,197.0,0.019519638270139694,0.8,3,True,0.001
0,19,201,200.0,0.015457446686923504,0.8,3,True,0.001
0,20,201,200.0,0.07818592339754105,0.8,3,True,0.001
0,21,201,200.0,0.032625965774059296,0.8,3,True,0.001
0,22,201,200.0,0.05899057537317276,0.8,3,True,0.001
0,23,201,200.0,0.015410284511744976,0.8,3,True,0.001
0,24,201,200.0,0.053427185863256454,0.8,3,True,0.001
0,25,201,200.0,0.21217241883277893,0.8,3,True,0.001
0,26,201,200.0,0.013140900060534477,0.8,3,True,0.001
0,27,201,200.0,0.028938399627804756,0.8,3,True,0.001
0,28,201,200.0,0.060753460973501205,0.8,3,True,0.001
0,29,201,200.0,0.08440010249614716,0.8,3,True,0.001
0,30,201,200.0,0.08505039662122726,0.8,3,True,0.001
0,31,201,200.0,0.008206259459257126,0.8,3,True,0.001
0,32,201,200.0,0.18910753726959229,0.8,3,True,0.001
0,33,201,200.0,0.04040731489658356,0.8,3,True,0.001
0,34,201,200.0,0.06467501819133759,0.8,3,True,0.001
0,35,201,200.0,0.16801157593727112,0.8,3,True,0.001
0,36,201,200.0,0.1757456660270691,0.8,3,True,0.001
0,37,201,200.0,0.09292545914649963,0.8,3,True,0.001
0,38,181,180.0,0.005647751037031412,0.8,3,True,0.001
0,39,201,200.0,0.010943693108856678,0.8,3,True,0.001
0,40,201,200.0,0.031082890927791595,0.8,3,True,0.001
0,41,201,200.0,0.12133300304412842,0.8,3,True,0.001
0,42,201,200.0,0.3657865524291992,0.8,3,True,0.001
0,43,192,191.0,0.32334861159324646,0.8,3,True,0.001
0,44,201,200.0,0.07520685344934464,0.8,3,True,0.001
0,45,149,148.0,0.041385676711797714,0.8,3,True,0.001
0,46,188,187.0,0.06757204979658127,0.8,3,True,0.001
0,47,170,169.0,0.2643277943134308,0.8,3,True,0.001
0,48,201,200.0,0.01226936187595129,0.8,3,True,0.001
0,49,173,172.0,0.009490516036748886,0.8,3,True,0.001
0,50,200,199.0,0.012968790717422962,0.8,3,True,0.001
0,51,164,163.0,0.016542095690965652,0.8,3,True,0.001
0,52,146,145.0,0.113337941467762,0.8,3,True,0.001
0,53,201,200.0,0.013264015316963196,0.8,3,True,0.001
0,54,146,145.0,0.032630592584609985,0.8,3,True,0.001
0,55,201,200.0,0.03722197934985161,0.8,3,True,0.001
0,56,201,200.0,0.0441112145781517,0.8,3,True,0.001
0,57,131,130.0,0.005688160192221403,0.8,3,True,0.001
0,58,201,200.0,0.005472514778375626,0.8,3,True,0.001
0,59,73,72.0,0.00792371854186058,0.8,3,True,0.001
0,60,43,42.0,0.25196129083633423,0.8,3,True,0.001
0,61,67,66.0,0.02927427738904953,0.8,3,True,0.001
0,62,201,200.0,0.019758129492402077,0.8,3,True,0.001
0,63,201,200.0,0.18071269989013672,0.8,3,True,0.001
0,64,201,200.0,0.0195431187748909,0.8,3,True,0.001
0,65,201,200.0,0.008114063180983067,0.8,3,True,0.001
0,66,201,200.0,0.15168605744838715,0.8,3,True,0.001
0,67,201,200.0,0.021121833473443985,0.8,3,True,0.001
0,68,201,200.0,0.01862335205078125,0.8,3,True,0.001
0,69,164,163.0,0.04142890125513077,0.8,3,True,0.001
0,70,201,200.0,0.24276302754878998,0.8,3,True,0.001
0,71,201,200.0,0.09965933114290237,0.8,3,True,0.001
